language,avg_sim,eng_sim,mag_sim
pbt_Arab,0.7951948972124803,0.8603342175483704,0.8638697266578674
bho_Deva,0.803978327073549,0.8849939703941345,0.9324672222137451
nus_Latn,0.7541211843490601,0.7647446393966675,0.7587763071060181
ban_Latn,0.7892863374007376,0.8281868100166321,0.806468665599823
dzo_Tibt,0.7642067200259158,0.8049390912055969,0.8094210624694824
mni_Beng,0.7697965063546833,0.8049124479293823,0.8122323751449585
lim_Latn,0.7631828455548537,0.7696220278739929,0.7508423924446106
ltg_Latn,0.7546754197070473,0.7377977967262268,0.731722354888916
ace_Latn,0.7854925880306646,0.8112789988517761,0.7918614745140076
crh_Latn,0.7763118853694514,0.8137766718864441,0.8112805485725403
srd_Latn,0.7838374407667863,0.8123900890350342,0.789851188659668
taq_Latn,0.7361057745782953,0.7023472785949707,0.6966891884803772
mri_Latn,0.764455574123483,0.7733198404312134,0.7640941739082336
ary_Arab,0.7886475057978379,0.8540048599243164,0.8443944454193115
bam_Latn,0.7538532363741022,0.7425683736801147,0.7378339171409607
knc_Arab,0.7049989621890219,0.6497077345848083,0.6642772555351257
eng_Latn,0.8134854435920715,1.0,0.9052538871765137
knc_Latn,0.739427742205168,0.7254181504249573,0.6981762051582336
dik_Latn,0.7506903566812214,0.7670304775238037,0.7364665865898132
prs_Arab,0.7948655988040724,0.8770488500595093,0.8654381036758423
bjn_Arab,0.7449945227095955,0.7386308312416077,0.7208337187767029
vec_Latn,0.7995624197156805,0.8798249959945679,0.8239803314208984
fur_Latn,0.7919965700099343,0.8574207425117493,0.8015187382698059
kas_Deva,0.7551480265040147,0.7779094576835632,0.7745407819747925
kas_Arab,0.793404674843738,0.8765386939048767,0.8666822910308838
arz_Arab,0.7927118508439315,0.8825758099555969,0.8676345348358154
lij_Latn,0.7927582075721339,0.8555459380149841,0.7891425490379333
ace_Arab,0.7377720600680301,0.7235208749771118,0.7084972262382507
bjn_Latn,0.7978630363941193,0.8718612790107727,0.8375768065452576
scn_Latn,0.790912190550252,0.8425633311271667,0.7933048605918884
bug_Latn,0.7644052348638836,0.7830238342285156,0.745568037033081
lmo_Latn,0.795367873028705,0.8598805665969849,0.7991991639137268
szl_Latn,0.7839420877004925,0.8343207240104675,0.7840568423271179
hne_Deva,0.7953690384563646,0.8948959708213806,0.9199795722961426
fuv_Latn,0.7399094810611323,0.7299469709396362,0.707513153553009
taq_Tfng,0.7603861720938432,0.7775619626045227,0.7621966004371643
shn_Mymr,0.772818314401727,0.8367486596107483,0.7988312840461731
mag_Deva,0.796644041412755,0.9052538871765137,1.0
