language,eng_sim,mag_sim,avg_sim
pbt_Arab,0.2526223957538605,0.2621294856071472,0.2711232112426507
bho_Deva,0.2548820376396179,0.26575011014938354,0.26600599994784907
nus_Latn,0.23565702140331268,0.24383121728897095,0.28060436954623774
ban_Latn,0.242820605635643,0.24302147328853607,0.27134793094898524
dzo_Tibt,0.22586816549301147,0.23805034160614014,0.25627171091343226
mni_Beng,0.24409642815589905,0.2568974792957306,0.27365862813435105
lim_Latn,0.23518113791942596,0.23734863102436066,0.282725516902773
ltg_Latn,0.22783467173576355,0.23434752225875854,0.2908730440233883
ace_Latn,0.23676817119121552,0.23892860114574432,0.2728830215178038
crh_Latn,0.24340207874774933,0.2513299584388733,0.27521586810287674
srd_Latn,0.24556028842926025,0.24538756906986237,0.27843064501097325
taq_Latn,0.20785735547542572,0.21590439975261688,0.2813795071683432
mri_Latn,0.23962628841400146,0.24452845752239227,0.28278927465802745
ary_Arab,0.250500351190567,0.2545815110206604,0.27099161242183883
bam_Latn,0.22919005155563354,0.23759977519512177,0.28759857306354925
knc_Arab,0.20310591161251068,0.22298596799373627,0.2912689725819387
eng_Latn,1.0,0.2555581033229828,0.2586739392657029
knc_Latn,0.2237272411584854,0.23441876471042633,0.2960981440387274
dik_Latn,0.23262840509414673,0.2397659718990326,0.2858073581990443
prs_Arab,0.253492146730423,0.25905710458755493,0.2696870616392085
bjn_Arab,0.22807979583740234,0.24175365269184113,0.2913633075199629
vec_Latn,0.25132492184638977,0.2516731023788452,0.27645644231846456
fur_Latn,0.24926389753818512,0.24865803122520447,0.2796320374074735
kas_Deva,0.2315165400505066,0.24690333008766174,0.27528735995292664
kas_Arab,0.2518104016780853,0.26577016711235046,0.27442662143393565
arz_Arab,0.2540190517902374,0.25675731897354126,0.2681402716981737
lij_Latn,0.24853520095348358,0.25035983324050903,0.2844768782195292
ace_Arab,0.21991612017154694,0.23447644710540771,0.2898660219813648
bjn_Latn,0.24662409722805023,0.24618616700172424,0.2663253196760228
scn_Latn,0.24618196487426758,0.24838489294052124,0.28079486128531006
bug_Latn,0.23136696219444275,0.23611488938331604,0.2832946761658317
lmo_Latn,0.24797657132148743,0.2488587200641632,0.28263800669657557
szl_Latn,0.24269434809684753,0.2469220608472824,0.28210738183636414
hne_Deva,0.2522699534893036,0.26615697145462036,0.2667166108363553
fuv_Latn,0.22077800333499908,0.22894532978534698,0.2913093425725636
taq_Tfng,0.23252178728580475,0.24427834153175354,0.28578954386083705
shn_Mymr,0.23435121774673462,0.24161376059055328,0.26662545259061615
mag_Deva,0.2555581033229828,,0.26540093319980723
