language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.7286942601203918,0.8234292268753052,0.7358088975860959
ces_Latn,1.0,0.745629072189331,0.7023793231873285
dan_Latn,0.6756486892700195,0.7444714307785034,0.6927414252644494
deu_Latn,0.7003964781761169,0.7903422117233276,0.7133105822971889
ell_Grek,0.7308660745620728,0.8413377404212952,0.7423721495128813
eng_Latn,0.745629072189331,1.0,0.7601509690284729
spa_Latn,0.728699266910553,0.8591052293777466,0.7456811496189663
est_Latn,0.5703191161155701,0.5759589672088623,0.5885767879940215
fin_Latn,0.6179369688034058,0.6446358561515808,0.6342358248574393
fra_Latn,0.7207101583480835,0.8406210541725159,0.7379003082002912
hun_Latn,0.6481971144676208,0.6848106384277344,0.6611023573648362
ita_Latn,0.6986024975776672,0.7939767837524414,0.7172665028345018
lit_Latn,0.6245859861373901,0.6420166492462158,0.6340660963739667
lvs_Latn,0.6433907747268677,0.665274977684021,0.6521493508702233
nld_Latn,0.6853271126747131,0.7626505494117737,0.7009522489139012
pol_Latn,0.710614025592804,0.7532113790512085,0.7046759611084348
por_Latn,0.7140235304832458,0.8229492902755737,0.731272680418832
ron_Latn,0.7053250074386597,0.7900724411010742,0.7175949357804798
slk_Latn,0.7569979429244995,0.7553385496139526,0.709049383799235
slv_Latn,0.6664632558822632,0.6779001355171204,0.6597800765718732
swe_Latn,0.6775384545326233,0.7494381666183472,0.6954475896699088
