source,target,bleu,chrf++
bul_Cyrl,eng_Latn,44.327,68.015
ces_Latn,eng_Latn,40.857,65.863
dan_Latn,eng_Latn,43.921,67.325
deu_Latn,eng_Latn,43.171,66.757
ell_Grek,eng_Latn,47.637,69.513
eng_Latn,eng_Latn,100.0,100.0
spa_Latn,eng_Latn,49.92,71.406
est_Latn,eng_Latn,35.47,61.742
fin_Latn,eng_Latn,35.208,61.437
fra_Latn,eng_Latn,43.765,67.344
hun_Latn,eng_Latn,36.008,62.713
ita_Latn,eng_Latn,40.011,64.933
lit_Latn,eng_Latn,33.771,60.596
lvs_Latn,eng_Latn,35.713,62.197
nld_Latn,eng_Latn,37.739,62.848
pol_Latn,eng_Latn,37.458,63.599
por_Latn,eng_Latn,47.434,70.018
ron_Latn,eng_Latn,48.376,70.937
slk_Latn,eng_Latn,41.551,66.425
slv_Latn,eng_Latn,41.864,66.515
swe_Latn,eng_Latn,42.137,65.905
