language,ces_sim,eng_sim,avg_sim
bul_Cyrl, 0.7327791452407837, 0.8266628384590149, 0.7382061595008487
ces_Latn, 1.0               , 0.7498950362205505, 0.7054615049135118
dan_Latn, 0.6778439283370972, 0.7453586459159851, 0.6944264059975034
deu_Latn, 0.7035908699035645, 0.7928881049156189, 0.7149921428589594
ell_Grek, 0.734368622303009 , 0.8453955054283142, 0.744381552650815
eng_Latn, 0.7498950362205505, 1.0               , 0.7630083929924738
spa_Latn, 0.7331928014755249, 0.8615450263023376, 0.7485241861570449
est_Latn, 0.5721510052680969, 0.5784502625465393, 0.5900211987041292
fin_Latn, 0.6198212504386902, 0.6464221477508545, 0.6353815964290074
fra_Latn, 0.7235183715820312, 0.844008207321167 , 0.7400091943286714
hun_Latn, 0.6513782143592834, 0.68880695104599  , 0.6636073163577488
ita_Latn, 0.7038167715072632, 0.7987806797027588, 0.7209254446483794
lit_Latn, 0.6257972121238708, 0.6422981023788452, 0.634763893626985
lvs_Latn, 0.6475297808647156, 0.6680083870887756, 0.6546683424995059
nld_Latn, 0.6891624927520752, 0.7660387754440308, 0.7036252390770685
pol_Latn, 0.7144169211387634, 0.7578724026679993, 0.7075407476652236
por_Latn, 0.7173646092414856, 0.8259744644165039, 0.7338017054966518
ron_Latn, 0.7094952464103699, 0.7953028678894043, 0.7207782864570618
slk_Latn, 0.7594707012176514, 0.7581673860549927, 0.7113079116457984
slv_Latn, 0.668595552444458 , 0.679048478603363 , 0.6612273653348287
swe_Latn, 0.6805030703544617, 0.7522519826889038, 0.6978256106376648
