language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.27776166796684265,0.28211501240730286,0.3096645332518078
ces_Latn,1.0,0.27505308389663696,0.31065195940789725
dan_Latn,0.2787030041217804,0.2795896828174591,0.3111356993516286
deu_Latn,0.2731567621231079,0.27875232696533203,0.3066295839491345
ell_Grek,0.27357348799705505,0.27982571721076965,0.30596825054713656
eng_Latn,0.27505308389663696,1.0,0.30929736154420034
spa_Latn,0.27481013536453247,0.2855016589164734,0.3086123885143371
est_Latn,0.26885002851486206,0.24903085827827454,0.2984382084437779
fin_Latn,0.2753252685070038,0.26520565152168274,0.3063113760380518
fra_Latn,0.2740018963813782,0.28413984179496765,0.30781113178957076
hun_Latn,0.2779771685600281,0.26887792348861694,0.30857026435080026
ita_Latn,0.27478355169296265,0.28076156973838806,0.3083684359277998
lit_Latn,0.2752687335014343,0.2601959705352783,0.3048437337080638
lvs_Latn,0.27917927503585815,0.26672789454460144,0.3084571815672375
nld_Latn,0.2747167646884918,0.2802639305591583,0.30803018240701585
pol_Latn,0.27884456515312195,0.2735603153705597,0.3087183818930671
por_Latn,0.2769376039505005,0.2835657298564911,0.3097319063686189
ron_Latn,0.2771385610103607,0.27777302265167236,0.3092177141280401
slk_Latn,0.28041374683380127,0.2761779725551605,0.30995759226026987
slv_Latn,0.2798486351966858,0.2690342366695404,0.3093538894539788
swe_Latn,0.277347207069397,0.2790921926498413,0.30975370321955
