language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.3276493549346924,0.329336017370224,0.3564155527523586
ces_Latn,1.0,0.3228171765804291,0.3617559657210395
dan_Latn,0.3333216607570648,0.3237236738204956,0.3627894080820538
deu_Latn,0.3242078721523285,0.3237597346305847,0.35483727001008536
ell_Grek,0.3223734200000763,0.3256678581237793,0.35155353517759413
eng_Latn,0.3228171765804291,1.0,0.35419938394001554
spa_Latn,0.3232458233833313,0.3305359184741974,0.3544050213836488
est_Latn,0.3307761549949646,0.30321791768074036,0.35767056828453425
fin_Latn,0.3332454264163971,0.313103586435318,0.3606183245068505
fra_Latn,0.3229992091655731,0.32949134707450867,0.3537158213910602
hun_Latn,0.33539673686027527,0.31752511858940125,0.36220654419490267
ita_Latn,0.32564887404441833,0.3273799419403076,0.35632056849343435
lit_Latn,0.3343377411365509,0.3125916123390198,0.36091545082273935
lvs_Latn,0.3377620577812195,0.3164174258708954,0.3632990490822565
nld_Latn,0.3265753388404846,0.32328805327415466,0.356826350802467
pol_Latn,0.3324281573295593,0.32213860750198364,0.3591445826348804
por_Latn,0.32673707604408264,0.32862234115600586,0.3568895005044483
ron_Latn,0.33038049936294556,0.32459375262260437,0.35946119399297805
slk_Latn,0.33558541536331177,0.3232455253601074,0.36076208097594126
slv_Latn,0.33958184719085693,0.3180815279483795,0.3643107102030799
swe_Latn,0.33180543780326843,0.32264992594718933,0.36072790906542823
