language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.7534263730049133,0.8300237059593201,0.7561288475990295
ces_Latn,1.0,0.7667908072471619,0.7262544660341173
dan_Latn,0.7143861651420593,0.7826825380325317,0.7250225912956965
deu_Latn,0.7356210350990295,0.8176936507225037,0.7430319644155956
ell_Grek,0.7564151883125305,0.8477541208267212,0.7628760593278068
eng_Latn,0.7667908072471619,1.0,0.7773394471123105
spa_Latn,0.7539327144622803,0.863535463809967,0.7655408183733622
est_Latn,0.5682476162910461,0.5727941393852234,0.5843230514299302
fin_Latn,0.6455568671226501,0.6723198890686035,0.6577791231019157
fra_Latn,0.7431870698928833,0.8441586494445801,0.7562585728509086
hun_Latn,0.6787663102149963,0.7121431231498718,0.6867549022038778
ita_Latn,0.7257703542709351,0.8057741522789001,0.7388762178875151
lit_Latn,0.626783549785614,0.6371544599533081,0.634139168830145
lvs_Latn,0.6671278476715088,0.6851391792297363,0.6716337033680507
nld_Latn,0.7211280465126038,0.7954970598220825,0.7322555979092916
pol_Latn,0.728823721408844,0.7617186307907104,0.7211828998156956
por_Latn,0.7415018677711487,0.8362877368927002,0.7541516111010597
ron_Latn,0.737675130367279,0.815967857837677,0.7452840265773591
slk_Latn,0.774465799331665,0.7788990139961243,0.734759543623243
slv_Latn,0.6952580809593201,0.7092873454093933,0.6881728626432873
swe_Latn,0.7164792418479919,0.7885068655014038,0.7285740091687157
