language,eng_sim,mag_sim,avg_sim
pbt_Arab,0.7517187595367432,0.7510532736778259,0.6035777385297575
bho_Deva,0.792299747467041,0.8682765364646912,0.6172828784114436
nus_Latn,0.559295117855072,0.5400007963180542,0.5132449732015008
ban_Latn,0.7114737033843994,0.6620796322822571,0.5895999960209194
dzo_Tibt,0.5944886803627014,0.5971461534500122,0.5194680463326605
mni_Beng,0.6377636194229126,0.6436015367507935,0.5448466696237263
lim_Latn,0.6169203519821167,0.5718917846679688,0.5395689018462834
ltg_Latn,0.5104544162750244,0.49287256598472595,0.49547688898287323
ace_Latn,0.6882824301719666,0.6434935927391052,0.5825116187334061
crh_Latn,0.6658304929733276,0.6506909132003784,0.561417649451055
srd_Latn,0.706439197063446,0.651525616645813,0.5858517218577234
taq_Latn,0.4054161012172699,0.39111974835395813,0.43540582845085546
mri_Latn,0.5976436138153076,0.5684658885002136,0.5318525002190941
ary_Arab,0.7272229194641113,0.7002282738685608,0.5889071139850115
bam_Latn,0.5013758540153503,0.48407572507858276,0.48966340406944875
knc_Arab,0.2808263301849365,0.29973965883255005,0.3585401193091744
eng_Latn,1.0,0.8124333024024963,0.6414748916500493
knc_Latn,0.4333333671092987,0.4227341413497925,0.4582926317265159
dik_Latn,0.4970759153366089,0.4769515097141266,0.482217600471095
prs_Arab,0.7605468034744263,0.7417407035827637,0.6050323553775486
bjn_Arab,0.4940756559371948,0.49027878046035767,0.4931699790452656
vec_Latn,0.7751248478889465,0.7120041251182556,0.6160745997177927
fur_Latn,0.7313574552536011,0.673869788646698,0.5993905028230265
kas_Deva,0.5694473385810852,0.5773051381111145,0.5083321364302384
kas_Arab,0.7565798759460449,0.7765923142433167,0.6071463384126362
arz_Arab,0.7749955654144287,0.7406595945358276,0.6094972899085597
lij_Latn,0.7127045392990112,0.6614074110984802,0.5927218465428603
ace_Arab,0.4382060766220093,0.4394623935222626,0.45999658029330404
bjn_Latn,0.7842468619346619,0.724010705947876,0.6197576138534044
scn_Latn,0.7105404734611511,0.662445604801178,0.5953337408994374
bug_Latn,0.5876349806785583,0.5562630295753479,0.5372716015891025
lmo_Latn,0.7215092182159424,0.6672173142433167,0.5968417689988488
szl_Latn,0.6920078992843628,0.6492822766304016,0.5817278921604156
hne_Deva,0.795429527759552,0.8508196473121643,0.6155357117715635
fuv_Latn,0.4327610731124878,0.41833731532096863,0.45512383470409795
taq_Tfng,0.5249016880989075,0.5229728817939758,0.5050385868863055
shn_Mymr,0.6236820816993713,0.6000989079475403,0.5385266401265797
mag_Deva,0.8124333024024963,,0.6235039100835198
