language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.7701844573020935,0.8581113815307617,0.7688210549808684
ces_Latn,1.0,0.7871088981628418,0.7390187751679194
dan_Latn,0.6985381245613098,0.7639144659042358,0.7175320046288627
deu_Latn,0.7668305039405823,0.8482500314712524,0.7693576699211484
ell_Grek,0.7659543752670288,0.8336519002914429,0.7578766374360948
eng_Latn,0.7871088981628418,1.0,0.7932318165188744
spa_Latn,0.776708722114563,0.8997772336006165,0.7978113463946751
est_Latn,0.6005515456199646,0.6411515474319458,0.6370204488436381
fin_Latn,0.6557873487472534,0.6919794678688049,0.6712390042486645
fra_Latn,0.7358513474464417,0.8502142429351807,0.762985368569692
hun_Latn,0.6718401908874512,0.7310932874679565,0.6945224716549828
ita_Latn,0.7516782879829407,0.8215261101722717,0.7597262263298035
lit_Latn,0.6578424572944641,0.652996838092804,0.6545009584653945
lvs_Latn,0.6984411478042603,0.718900740146637,0.7009929929460798
nld_Latn,0.7369289398193359,0.7948616147041321,0.7428234418233236
pol_Latn,0.7605863809585571,0.8013159036636353,0.7522330738249279
por_Latn,0.7387658357620239,0.8407903909683228,0.7557897142001561
ron_Latn,0.7611626386642456,0.8543294668197632,0.7681149471373785
slk_Latn,0.7940701246261597,0.7976018786430359,0.7422731320063273
slv_Latn,0.6713158488273621,0.6725766062736511,0.6639255370412555
swe_Latn,0.7192471027374268,0.7977161407470703,0.7365926731200445
