language,ces_sim,eng_sim,avg_sim
bul_Cyrl,0.7929159998893738,0.8641065955162048,0.7971255580584208
ces_Latn,1.0,0.8174010515213013,0.7667677941776457
dan_Latn,0.7355501651763916,0.8012557029724121,0.7562501685959953
deu_Latn,0.7991399765014648,0.8562055230140686,0.7965528454099383
ell_Grek,0.7932693362236023,0.8398849964141846,0.7842179905800593
eng_Latn,0.8174010515213013,1.0,0.8129173148246038
spa_Latn,0.8009149432182312,0.8947917222976685,0.8216603313173566
est_Latn,0.6207324266433716,0.6454354524612427,0.652186564036778
fin_Latn,0.6766605973243713,0.7250818014144897,0.7038318599973407
fra_Latn,0.7836994528770447,0.855455756187439,0.7920764202163333
hun_Latn,0.7017526626586914,0.7330240607261658,0.7171517269951957
ita_Latn,0.7886993288993835,0.8397293090820312,0.7913783817064195
lit_Latn,0.6240150928497314,0.6454877853393555,0.6508062652179173
lvs_Latn,0.7053481340408325,0.7618066668510437,0.7361356218655905
nld_Latn,0.7787925601005554,0.8186200857162476,0.7780845732915969
pol_Latn,0.7787277102470398,0.8058813810348511,0.7781694588207063
por_Latn,0.7631036639213562,0.8511467576026917,0.7826648978959947
ron_Latn,0.7942453026771545,0.8656408786773682,0.7973611439977374
slk_Latn,0.8270862102508545,0.8260550498962402,0.7795243688992092
slv_Latn,0.7619603872299194,0.7842413783073425,0.7512573514665876
swe_Latn,0.7581086754798889,0.8400116562843323,0.7808236990656171
