language,self_similarity
bul_Cyrl,0.24257918
ces_Latn,0.2371804
dan_Latn,0.23739113
deu_Latn,0.23625441
ell_Grek,0.2370829
eng_Latn,0.25917023
spa_Latn,0.2409324
est_Latn,0.23103505
fin_Latn,0.231035
fra_Latn,0.24973466
hun_Latn,0.23127015
ita_Latn,0.23846017
lit_Latn,0.2545202
lvs_Latn,0.24025984
nld_Latn,0.23393066
pol_Latn,0.2352652
por_Latn,0.26037404
ron_Latn,0.2377161
slk_Latn,0.23748006
slv_Latn,0.24895708
swe_Latn,0.2402727
