language,eng_sim,mag_sim,avg_sim
pbt_Arab,0.7329875230789185,0.7328688502311707,0.5856577016805348
bho_Deva,0.7780463695526123,0.8646013140678406,0.5964518887431998
nus_Latn,0.5581067800521851,0.5382596850395203,0.5179654987234819
ban_Latn,0.6679423451423645,0.616360604763031,0.5724678596383647
dzo_Tibt,0.6116744875907898,0.6137488484382629,0.5193484276533127
mni_Beng,0.6276466846466064,0.6370806694030762,0.539860808535626
lim_Latn,0.578393816947937,0.5288838744163513,0.5323491990566254
ltg_Latn,0.503387987613678,0.48157042264938354,0.5104846413198271
ace_Latn,0.6394050717353821,0.5917863249778748,0.5679955082504373
crh_Latn,0.6432506442070007,0.6302822232246399,0.5515623022066919
srd_Latn,0.6606365442276001,0.6028847694396973,0.5716298528407749
taq_Latn,0.42113667726516724,0.4026421010494232,0.4701117959461714
mri_Latn,0.5612906217575073,0.5346822142601013,0.5278080207736868
ary_Arab,0.7201698422431946,0.691335916519165,0.5751081163945951
bam_Latn,0.4985096752643585,0.48131778836250305,0.5058081604932484
knc_Arab,0.3200799226760864,0.3424571454524994,0.41072944904628556
eng_Latn,1.0,0.8012776374816895,0.6221218273827904
knc_Latn,0.42422255873680115,0.41042155027389526,0.47712124648847076
dik_Latn,0.5086085796356201,0.48739659786224365,0.49970490054080363
prs_Arab,0.748481035232544,0.7284070253372192,0.5880617342497173
bjn_Arab,0.45382970571517944,0.4557710289955139,0.48812211814679596
vec_Latn,0.7297046780586243,0.6638545393943787,0.5965476318409568
fur_Latn,0.6830657124519348,0.6211506128311157,0.5812785272535524
kas_Deva,0.5444955229759216,0.5538710355758667,0.5090581837453341
kas_Arab,0.7271082401275635,0.749154806137085,0.5842717564419696
arz_Arab,0.7635592818260193,0.7276608347892761,0.5888770489316237
lij_Latn,0.6626816987991333,0.608248770236969,0.5771488280672776
ace_Arab,0.42454615235328674,0.42992153763771057,0.47228521971326126
bjn_Latn,0.7357438802719116,0.6736920475959778,0.5996183376563223
scn_Latn,0.6543784141540527,0.6032792329788208,0.5770276902537597
bug_Latn,0.5401759743690491,0.5064719915390015,0.5275256014183948
lmo_Latn,0.6800462007522583,0.6217126846313477,0.5830598857841993
szl_Latn,0.6341002583503723,0.5901144742965698,0.5613846041654286
hne_Deva,0.7804509997367859,0.840442955493927,0.5977152444814381
fuv_Latn,0.44145071506500244,0.4240495562553406,0.4818744494726783
taq_Tfng,0.5366473197937012,0.5356519222259521,0.5158095320588664
shn_Mymr,0.643389880657196,0.6146311163902283,0.5391743379203897
mag_Deva,0.8012776374816895,,0.6036301239540702
