language,eng_sim,mag_sim,avg_sim
pbt_Arab,0.305559903383255,0.31888508796691895,0.3336891116280305
bho_Deva,0.3073605000972748,0.3219519257545471,0.3243809671778428
nus_Latn,0.2952044606208801,0.3071182668209076,0.34891438327337565
ban_Latn,0.29895177483558655,0.30172306299209595,0.3452105882920717
dzo_Tibt,0.28557175397872925,0.3004405200481415,0.3147393535626562
mni_Beng,0.3009885251522064,0.3187113404273987,0.3390265914954637
lim_Latn,0.2905075252056122,0.29133909940719604,0.35847617764221995
ltg_Latn,0.28877779841423035,0.2944999933242798,0.3708369763273942
ace_Latn,0.29174959659576416,0.29547595977783203,0.34996563823599564
crh_Latn,0.29950150847435,0.31121623516082764,0.3454945926603518
srd_Latn,0.299582302570343,0.30097681283950806,0.35314033768678965
taq_Latn,0.2742937505245209,0.28178805112838745,0.3652553723046654
mri_Latn,0.29876047372817993,0.30817094445228577,0.3643955941262998
ary_Arab,0.303492933511734,0.3111344277858734,0.3290252654176009
bam_Latn,0.2916606068611145,0.3034200072288513,0.36761786671061264
knc_Arab,0.26732027530670166,0.29016736149787903,0.3670868057953684
eng_Latn,1.0,0.30774444341659546,0.31396044084900304
knc_Latn,0.2819730043411255,0.2921085059642792,0.37695481510538803
dik_Latn,0.2946867346763611,0.3051421046257019,0.3580808615998218
prs_Arab,0.307445228099823,0.31721803545951843,0.3312112587062936
bjn_Arab,0.2858412265777588,0.304477334022522,0.36685366065878616
vec_Latn,0.30459359288215637,0.3073781430721283,0.34828272775599833
fur_Latn,0.3037470281124115,0.3039664030075073,0.3541671743518428
kas_Deva,0.28536397218704224,0.30358341336250305,0.3473784280450721
kas_Arab,0.30470430850982666,0.3229950964450836,0.3361348698013707
arz_Arab,0.30584830045700073,0.31253135204315186,0.3245923919113059
lij_Latn,0.30278053879737854,0.3062937259674072,0.3609446687133689
ace_Arab,0.28130409121513367,0.3004276156425476,0.3658973433469471
bjn_Latn,0.29857271909713745,0.3016555905342102,0.33923306041642237
scn_Latn,0.30000004172325134,0.30398428440093994,0.3586802906111667
bug_Latn,0.2878628373146057,0.292385071516037,0.36244101587094757
lmo_Latn,0.3028002679347992,0.30468136072158813,0.35740795339408676
szl_Latn,0.29697126150131226,0.3028593957424164,0.3604700494753687
hne_Deva,0.3060857951641083,0.32232826948165894,0.3281450585315102
fuv_Latn,0.28453516960144043,0.29333993792533875,0.3728108617820238
taq_Tfng,0.29347556829452515,0.30928653478622437,0.35326873393435226
shn_Mymr,0.29487693309783936,0.3041594624519348,0.3253033388602106
mag_Deva,0.30774444341659546,,0.3230411888737428
